Distribution, Votes,Rank,Title
1222,92449,8.2, El secreto de sus ojos (2009)
1321,258544,8.2, Casino (1995)
1222,416062,8.2, The Big Lebowski (1998)
1222,247323,8.2, Warrior (2011)
1222,70877,8.2, Rebecca (1940)
1222,614206,8.2, V for Vendetta (2005)
1222,50494,8.2, It Happened One Night (1934)
1222,154616,8.2, Hauru no ugoku shiro (2004)
1222,188778,8.2, The Deer Hunter (1978)
1322,97744,8.2, Cool Hand Luke (1967)
1222,340592,8.2, How to Train Your Dragon (2010)
1221,346146,8.2, Fargo (1996)
1321,197945,8.2, Rush (2013/I)
1321,374835,8.1, Trainspotting (1996)
1213,173414,8.1, Gone with the Wind (1939)
1222,92293,8.1, The Maltese Falcon (1941)
1222,324383,8.1, Into the Wild (2007)
123,28204,8.1, Dil Chahta Hai (2001)
1222,32392,8.1, Judgment at Nuremberg (1961)
124,44483,8.1, Rang De Basanti (2006)
1321,440739,8.1, A Beautiful Mind (2001)
1321,211619,8.1, Hotel Rwanda (2004)
1321,561371,8.1, The Sixth Sense (1999)
1321,80650,8.1, Dial M for Murder (1954)
1222,204800,8.1, The Thing (1982)
1321,120271,8.1, Butch Cassidy and the Sundance Kid (1969)
1321,501643,8.1, Finding Nemo (2003)
1321,266164,8.1, 12 Years a Slave (2013)
1222,561192,8.1, Kill Bill: Vol. 1 (2003)
1221,474203,8.1, No Country for Old Men (2007)
1222,27027,8.1, Le salaire de la peur (1953)
1321,234942,8.1, Platoon (1986)
1222,87370,8.1, Mary and Max (2009)
1222,215674,8.1, Life of Brian (1979)
1222,277485,8.1, X-Men: Days of Future Past (2014)
1222,151788,8.1, Annie Hall (1977)
1222,81833,8.1, Network (1976)
1222,535438,8.1, Sin City (2005)
1222,59407,8.1, Touch of Evil (1958)
1221,53737,8.1, Incendies (2010)
1321,190897,8.1, The Grand Budapest Hotel (2014)
1221,32391,8.1, Les diaboliques (1955)
1222,239946,8.1, The Princess Bride (1987)
1322,216188,8.1, Stand by Me (1986)
1222,294866,8.1, There Will Be Blood (2007)
1222,125343,8.1, Ben-Hur (1959)
1321,140683,8.1, Amores perros (2000)
1212,228490,8.1, The Wizard of Oz (1939)
1321,367877,8.1, Million Dollar Baby (2004)
1222,723881,8.1, The Avengers (2012)
1223,93435,8.1, Hachi: A Dog's Tale (2009)
1222,49817,8.1, The Grapes of Wrath (1940)
1222,55087,8.1, Les quatre cents coups (1959)
1321,83385,8.1, In the Name of the Father (1993)
1222,32500,8.1, The Best Years of Our Lives (1946)
1321,381891,8.1, The Bourne Ultimatum (2007)
1222,45636,8.1, Persona (1966)
1222,466442,8.1, Donnie Darko (2001)
1322,133484,8.1, Gandhi (1982)
1321,75404,8.1, Strangers on a Train (1951)
1213,63151,8.1, 8 (1963)
1222,69083,8.1, Kaze no tani no Naushika (1984)
1212,317874,8.1, Jaws (1975)
1222,74123,8.1, Mou gaan dou (2002)
1222,65247,8.1, High Noon (1952)
1321,370686,8.1, Twelve Monkeys (1995)
1321,365841,8.1, The King's Speech (2010)
1222,60473,8, Notorious (1946)
1321,454473,8, The Terminator (1984)
1321,560825,8, Shutter Island (2010)
1113,52408,8, Stalker (1979)
1222,392649,8, Harry Potter and the Deathly Hallows: Part 2 (2011)
